Employee_ID,Name,Gender,Department,City,Joining_Date,Experience_Years,Salary,Bonus,Performance_Rating
E0001,Vivaan Verma,Male,Operations,Hyderabad,2018-07-21,12.0,84543,14019.0,4
E0002,Aarav Singh,Female,IT,Delhi,2021-04-05,1.2,132446,10385.0,2
E0003,Aarav Joshi,Male,Operations,Mumbai,2018-12-13,11.5,137381,43271.0,5
E0004,Riya Joshi,Female,Operations,Lucknow,2024-11-28,12.5,103265,16960.0,5
E0005,Amit Patel,Female,Finance,Lucknow,2013-04-22,18.6,27261,6713.0,4
E0006,Ananya Yadav,Male,Finance,Mumbai,2022-10-24,12.8,139834,22897.0,2
E0007,Aditya Verma,Female,Sales,Delhi,2014-05-06,13.8,56094,41671.0,4
E0008,Amit Mehta,Male,Finance,Bengaluru,2014-05-23,0.8,112431,6900.0,4
E0009,Aditya Mehta,Male,Finance,Delhi,2021-02-23,18.7,142123,8108.0,5
E0010,Karan Kumar,Female,HR,Bengaluru,2015-05-25,14.4,88409,11980.0,3
E0011,Vivaan Gupta,Male,HR,Pune,2014-08-26,15.0,58423,38920.0,2
E0012,Ananya Patel,Male,HR,Hyderabad,2018-02-23,17.0,49936,26584.0,2
E0013,Riya Das,Male,IT,Hyderabad,2012-07-18,16.9,156983,47661.0,4
E0014,Amit Patel,Female,Marketing,Hyderabad,2020-05-27,9.4,51035,29419.0,3
E0015,Sneha Gupta,Male,Finance,Jaipur,2017-07-25,10.8,167418,27992.0,5
E0016,Karan Verma,Male,Finance,Bengaluru,2020-08-07,4.0,108701,7285.0,4
E0017,Amit Patel,Male,HR,Pune,2017-07-27,4.0,97751,33697.0,4
E0018,Priya Joshi,Female,Operations,Delhi,2021-11-20,6.4,160634,10612.0,2
E0019,Priya Mehta,Male,Marketing,Mumbai,2020-05-17,15.3,158892,19394.0,5
E0020,Aditya Gupta,Female,Sales,Hyderabad,2014-09-10,10.8,99502,35751.0,5
E0021,Priya Gupta,Female,Marketing,Pune,2025-01-27,12.9,173776,34776.0,3
E0022,Neha Mehta,Male,HR,Pune,2022-12-04,9.0,124088,10558.0,4
E0023,Aarav Kumar,Male,IT,Bengaluru,2023-12-01,2.2,107735,18324.0,3
E0024,Priya Patel,Female,HR,Pune,2025-08-28,16.4,100510,21603.0,3
E0025,Vivaan Joshi,Male,Operations,Hyderabad,2017-07-30,1.7,120991,37305.0,5
E0026,Aditya Verma,Female,Operations,Bengaluru,2013-01-26,3.2,105479,44351.0,3
E0027,Rahul Mehta,Male,IT,Jaipur,2014-01-16,18.0,119453,,4
