OrderID,CustomerID,CustomerName,Gender,Age,Email,Phone,Product,Brand,Category,Quantity,UnitPrice,Discount%,GST%,SalesAmount,CostPrice,Profit,OrderDate,City,State
ORD100001,CUST5001,Aachal Upadhyay,Female,60,iryadyal@example.net,9343238583,Dell Inspiron,Dell,Laptop,4,58999,0,18,235996.0,184076.88,51919.12,2025-01-06,Ambattur,Odisha
ORD100002,CUST5002,Gaurangi Muni,Male,22,wriddhish29@example.org,9753159564,Dell Inspiron,Dell,Laptop,3,58999,10,18,159297.3,138057.66,21239.64,2023-08-14,Rohtak,Manipur
ORD100003,CUST5003,Hamsini Sahota,Female,39,swamylakshmi@example.net,9107997219,HP Pavilion,HP,Laptop,3,65999,10,18,178197.3,154437.66,23759.64,2024-12-10,Mango,Telangana
ORD100004,CUST5004,Harita Karan,Male,50,ladli38@example.net,9609104410,Dell Inspiron,Dell,Laptop,4,58999,15,18,200596.6,184076.88,16519.72,2025-05-21,South Dumdum,Rajasthan
ORD100005,CUST5005,Harita Mohan,Female,38,snehasastry@example.com,9342201224,HP Pavilion,HP,Laptop,5,65999,10,18,296995.5,257396.1,39599.4,2025-01-15,Kolhapur,Gujarat
ORD100006,CUST5006,Vrinda Dube,Male,51,yashicasandhu@example.com,9277075302,Dell Inspiron,Dell,Laptop,1,58999,10,18,53099.1,46019.22,7079.88,2023-12-25,Siliguri,Sikkim
ORD100007,CUST5007,Gaurika Pathak,Female,50,dixitbhavya@example.net,9567931297,Galaxy S24,Samsung,Electronics,5,74999,5,18,356245.25,292496.1,63749.15,2025-04-27,Malegaon,Uttar Pradesh
ORD100008,CUST5008,Faras Vasa,Male,59,onkar14@example.net,9139939273,Galaxy S24,Samsung,Electronics,5,74999,15,18,318745.75,292496.1,26249.65,2023-04-22,Shimoga,Kerala
ORD100009,CUST5009,Bakhshi Choudhury,Female,48,nitaragala@example.org,9567600961,Dell Inspiron,Dell,Laptop,2,58999,5,18,112098.1,92038.44,20059.66,2025-01-22,Kadapa,Maharashtra
ORD100010,CUST5010,Wahab Sidhu,Male,38,niharika09@example.com,9435849119,Galaxy S24,Samsung,Electronics,5,74999,10,18,337495.5,292496.1,44999.4,2024-04-19,Jaipur,Karnataka
ORD100011,CUST5011,Falan Gopal,Male,40,bhavikakara@example.net,9320503831,Dell Inspiron,Dell,Laptop,3,58999,15,18,150447.45,138057.66,12389.79,2024-07-02,Gandhinagar,Meghalaya
ORD100012,CUST5012,Advika Morar,Female,23,vasudha71@example.com,9915322557,HP Pavilion,HP,Laptop,2,65999,15,18,112198.3,102958.44,9239.86,2024-11-21,Shimoga,Goa
ORD100013,CUST5013,Aryan Bhardwaj,Female,46,mittalunni@example.net,9643564944,Dell Inspiron,Dell,Laptop,4,58999,15,18,200596.6,184076.88,16519.72,2024-11-26,Bidar,Odisha
ORD100014,CUST5014,Lila Cherian,Female,21,jaimukhopadhyay@example.net,9228625625,Galaxy S24,Samsung,Electronics,4,74999,10,18,269996.4,233996.88,35999.52,2023-08-28,Jodhpur,Meghalaya
ORD100015,CUST5015,Chasmum Mangal,Male,46,oeshi24@example.com,9361274353,HP Pavilion,HP,Laptop,4,65999,5,18,250796.2,205916.88,44879.32,2023-06-13,Rajkot,Mizoram
ORD100016,CUST5016,Yashasvi Palan,Female,56,bhagatchatresh@example.net,9491705176,iPhone 15,Apple,Electronics,2,79999,5,18,151998.1,124798.44,27199.66,2024-12-14,Alappuzha,Chhattisgarh
ORD100017,CUST5017,Indrajit Mani,Male,25,samakshpatla@example.net,9904575856,HP Pavilion,HP,Laptop,2,65999,5,18,125398.1,102958.44,22439.66,2025-04-04,Tinsukia,Tamil Nadu
ORD100018,CUST5018,Neelima Parekh,Female,51,banikdevika@example.com,9670890960,HP Pavilion,HP,Laptop,2,65999,15,18,112198.3,102958.44,9239.86,2024-02-02,Muzaffarpur,Tamil Nadu
ORD100019,CUST5019,Bhavini Badami,Female,21,deepa50@example.net,9739025291,iPhone 15,Apple,Electronics,1,79999,0,18,79999.0,62399.22,17599.78,2024-06-23,Sambhal,Arunachal Pradesh
ORD100020,CUST5020,Arunima Walia,Male,40,onkar01@example.org,9749323366,iPhone 15,Apple,Electronics,1,79999,10,18,71999.1,62399.22,9599.88,2024-01-11,Rourkela,Manipur
ORD100021,CUST5021,Logan Wali,Male,55,ubose@example.net,9636858791,HP Pavilion,HP,Laptop,4,65999,10,18,237596.4,205916.88,31679.52,2025-01-31,Saharsa,Rajasthan
ORD100022,CUST5022,Bachittar Shankar,Male,37,maneojasvi@example.net,9291144090,iPhone 15,Apple,Electronics,2,79999,10,18,143998.2,124798.44,19199.76,2024-08-03,Hubli–Dharwad,Maharashtra
ORD100023,CUST5023,Qabil Talwar,Male,58,sarandalaja@example.com,9435184137,HP Pavilion,HP,Laptop,2,65999,10,18,118798.2,102958.44,15839.76,2023-04-17,Satna,Chhattisgarh
ORD100024,CUST5024,Upadhriti Dalal,Female,51,vrinda20@example.org,9131436143,Dell Inspiron,Dell,Laptop,1,58999,10,18,53099.1,46019.22,7079.88,2024-05-16,Panihati,Andhra Pradesh
